,name,address,point_x,point_y,specify,dataType,tag
67,保俶塔实验学校高中部,浙江省杭州市西湖区宝石二路,120.14192,30.26605,西湖区,中学,tdt
68,杭州学军中学,浙江省杭州市西湖区蒋墩路369,120.06487,30.30032,西湖区,中学,tdt
69,之江第一中学,浙江省杭州市西湖区浙江省杭州市西湖区,120.0869,30.162,西湖区,中学,tdt
70,杭州市嘉绿苑中学,浙江省杭州市西湖区华星路218,120.11131,30.2813,西湖区,中学,tdt
71,大禹路九年一贯制中学,浙江省杭州市西湖区浙江省杭州市西湖区,120.07694,30.330944,西湖区,中学,tdt
72,杭州民办风帆中学,浙江省杭州市西湖区浙江省杭州市西湖区,120.150056,30.265037,西湖区,中学,tdt
73,杭州市保俶塔实验学校(松木场校区),浙江省杭州市西湖区天目山路81号,120.144031,30.274038,西湖区,中学,tdt
74,杭州师范大学附属中学国际部,浙江省杭州市西湖区振华路6正北方向146米,120.08351,30.31919,西湖区,中学,tdt
75,杭州博雅学院,浙江省杭州市西湖区百家园路128号正南方向53米,120.05665,30.25227,西湖区,中专,tdt
76,浙江长征职业技术学院,浙江省杭州市西湖区留和路525,120.01426,30.2098,西湖区,中专,tdt
77,杭州市西湖区博厚职业技术培训学校,浙江省杭州市西湖区池华街330号尚坤云谷中心5层510,120.0659,30.33236,西湖区,中专,tdt
78,浙江东南外国语职业学校,浙江省杭州市西湖区浙江省杭州市西湖区,120.06126,30.320893,西湖区,中专,tdt
79,杭州科技职业技术学院翠苑校区,浙江省杭州市西湖区毛家桥路26号,120.111013,30.288627,西湖区,中专,tdt
80,杭州市电子信息职业学校,浙江省杭州市西湖区高技街2,120.11869,30.2875,西湖区,中专,tdt
81,浙江公路技师学院老和山校区,浙江省杭州市西湖区西溪路521,120.10875,30.2711,西湖区,中专,tdt
82,浙江省图书馆中等专业函授学校,浙江省杭州市西湖区曙光路73号,120.13168,30.26602,西湖区,中专,tdt
83,浙江公路机械技工学校,浙江省杭州市西湖区浙江省杭州市西湖区,120.080674,30.257216,西湖区,中专,tdt
84,杭州计算机学校,浙江省杭州市西湖区浮山东路1号,120.085442,30.135227,西湖区,中专,tdt
85,杭州万向职业技校东区,浙江省杭州市西湖区花坞路3号,120.07172,30.26059,西湖区,中专,tdt
86,杭州第一技师学院,浙江省杭州市西湖区浙江省杭州市西湖区,120.077184,30.256798,西湖区,中专,tdt
87,浙江联信经济管理专修学校,浙江省杭州市西湖区浙江省杭州市西湖区,120.093534,30.258936,西湖区,中专,tdt
88,杭州电子科技大学文一校区,浙江省杭州市西湖区文一路115,120.13505,30.28904,西湖区,大专,tdt
89,浙江工商大学教工路校区西区,浙江省杭州市西湖区教工路149号,120.1289,30.28657,西湖区,大专,tdt
90,浙江大学紫金港校区,浙江省杭州市西湖区余杭塘路866,120.0817,30.30692,西湖区,大专,tdt
91,浙江科技学院(小和山校区),浙江省杭州市西湖区留和路318号,120.023012,30.221232,西湖区,大专,tdt
92,浙江中华文化学院文欣校区,浙江省杭州市西湖区浙江省杭州市西湖区,120.13432,30.29504,西湖区,大专,tdt
93,浙江大学西溪校区北园,浙江省杭州市西湖区文三路232号,120.13231,30.28021,西湖区,大专,tdt
94,西湖大学(浙江西湖高等研究院),浙江省杭州市西湖区云栖小镇石龙山街18号,120.075445,30.13648,西湖区,大专,tdt
95,浙江工业大学屏峰校区,浙江省杭州市西湖区留和路288,120.03212,30.22728,西湖区,大专,tdt
96,浙江大学紫金港校区西区,浙江省杭州市西湖区浙江省杭州市西湖区,120.06707,30.301,西湖区,大专,tdt
97,杭州师范大学玉皇山校区,浙江省杭州市西湖区玉皇山路77号,120.150801,30.231336,西湖区,大专,tdt
98,浙江理工大学文一校区,浙江省杭州市西湖区文一路118号,120.13322,30.291278,西湖区,大专,tdt
99,浙江大学玉泉校区,浙江省杭州市西湖区浙大路38号,120.118195,30.26428,西湖区,大专,tdt
100,浙江大学西溪校区,浙江省杭州市西湖区天目山路148号,120.1363,30.27612,西湖区,大专,tdt
101,浙江大学之江校区,浙江省杭州市西湖区之江路51号,120.121324,30.195147,西湖区,大专,tdt
102,浙江工商大学教工路校区东区,浙江省杭州市西湖区教工路198号,120.13392,30.2875,西湖区,大专,tdt
103,湖畔大学,浙江省杭州市西湖区鹆鹄湾附近,120.13029,30.22886,西湖区,大专,tdt
104,中国美术学院(象山中心校区),浙江省杭州市西湖区象山路352号,120.070715,30.159016,西湖区,大专,tdt
105,浙江财经大学文华校区,浙江省杭州市西湖区文一西路83,120.1065,30.28847,西湖区,大专,tdt
106,爱嘉幼学托育园,西湖区山水人家彩云天会馆1层(蚂蚁金服对面),120.10400304504365,30.27215283425742,西湖区,幼儿园,gd
107,蓝天幼儿园(周浦线),西湖区双浦镇三阳村408号(中共杭州市双浦镇委员会东),120.07009014414459,30.09310604827593,西湖区,幼儿园,gd
108,和庄幼儿园,西湖区天目山路383号,120.06737572655558,30.259480594314088,西湖区,幼儿园,gd
109,孩盟国际幼托,西湖区盛龙街西城年华65号,120.09512431621039,30.312268921399248,西湖区,幼儿园,gd
110,Kaiser Nursery卡朗幼托,西湖区文一路122号城市芯宇2幢103-2,120.13247509456744,30.292472523059637,西湖区,幼儿园,gd
111,贝比之家早教幼托中心,西湖区文三西路29号,120.1069311101174,30.278258143550612,西湖区,幼儿园,gd
112,西湖区午山幼儿园瑷骊山园区,西湖区霞鸣街269号,120.06124460384153,30.145471874512292,西湖区,幼儿园,gd
113,杭师大幼儿园,西湖区教工路142号,120.1312871157159,30.283307990666216,西湖区,幼儿园,gd
114,酷特儿幼托,西湖区古墩路107号,120.09618918826354,30.27613383384375,西湖区,幼儿园,gd
115,杭州西点香樟婴幼园,西湖区竞舟路102号,120.10086088921743,30.281187378824956,西湖区,幼儿园,gd
116,杭州孝慈旭航幼儿园,西湖区西溪路799号,120.06971777749109,30.25299103853058,西湖区,幼儿园,gd
117,文新学前教育集团,西湖区文新街道古墩路580-2号,120.09482579378852,30.292489297301927,西湖区,幼儿园,gd
118,象山幼儿园(科海路园区),西湖区燕庐巷与青蓝路交叉路口西南侧(东日晴好),120.08605376982838,30.13813983581408,西湖区,幼儿园,gd
119,杭州云溪幼儿园,西湖区转塘街道珊瑚沙路61号,120.09164945929675,30.16767262836455,西湖区,幼儿园,gd
120,象山幼儿园云荷廷园区,西湖区江涵路银泰百货(杭州之江店)东侧约210米,120.0997852683115,30.170388612192227,西湖区,幼儿园,gd
121,西庐幼儿园小班部,西湖区双龙街380号西溪里瑾园北对面,120.05543236958847,30.295823366601844,西湖区,幼儿园,gd
122,杭州云谷幼儿园,西湖区留下街道桃源坞5-7号楼,120.10074173189822,30.25816751844192,西湖区,幼儿园,gd
123,青青幼乐园,西湖区五常港路融创河滨之城雨澜轩商铺,120.05618696624201,30.301305342405126,西湖区,幼儿园,gd
124,之江幼儿园(丽景路园区),西湖区之新花苑18幢,120.08961622904991,30.158794612251125,西湖区,幼儿园,gd
125,初本幼园(古墩校区),西湖区文一西路骆家庄498号,120.09433086787159,30.28764190358402,西湖区,幼儿园,gd
126,象象部落(金地自在城栖霞居店),"西湖区城栖霞居5幢103,104室",120.0622098493822,30.331411135213113,西湖区,幼儿园,gd
127,杭州市西湖区大禹路幼儿园小班部,西湖区荷风苑11幢(商铺)107附近正东方向100米,120.07897956714206,30.334558004636268,西湖区,幼儿园,gd
128,袁浦幼儿园小江分园,西湖区,120.12018275365921,30.130717712123953,西湖区,幼儿园,gd
129,杭州市西湖区周浦幼儿园灵山分园,西湖区双浦镇周浦三阳村408号,120.03511117148534,30.131185490997886,西湖区,幼儿园,gd
130,澳美绿园婴幼公馆,西湖区玉古路159号-161号(黄龙体育中心旁、绿园小业主俱乐部内),120.12434228673453,30.268153515894806,西湖区,幼儿园,gd
131,慧之铭幼儿园,西湖区转塘家园南区光阳大厦二楼,120.08044085024734,30.16562981973017,西湖区,幼儿园,gd
132,西湖区莲花港学前教育集团水晶城幼儿园,西湖区澜玉弄,120.10110928246085,30.161933027698282,西湖区,幼儿园,gd
133,杭州市西湖区袁浦幼儿园,西湖区杭州市西湖区双浦镇兰溪口村450号（袁浦小学西面）,120.11511593948521,30.116848960604276,西湖区,幼儿园,gd
134,艾儿思美式幼儿园(西湖华盛顿园),西湖区古墩路391号,120.09418794437349,30.285623142568976,西湖区,幼儿园,gd
135,启桢幼儿园(普普园区),西湖区西园四路西港白领公寓西南侧约90米,120.06466700328936,30.315717466730806,西湖区,幼儿园,gd
136,杭州市西湖区文溪幼儿园,西湖区崇仁路杭州市西溪实验学校南侧约250米,120.07295424203664,30.28709894425674,西湖区,幼儿园,gd
137,杭州市西湖区转塘幼儿园中村园区,西湖区G320与G320辅路交叉口西南方向60米,120.04009096434812,30.14897676119288,西湖区,幼儿园,gd
138,妙乐卡梦想幼儿园,西湖区三墩镇欣然街32号紫金梦想广场4号楼,120.06077441289818,30.329602716782745,西湖区,幼儿园,gd
139,南迪初本幼儿园,西湖区西溪路537号钱江西溪和景6幢,120.10253290093544,30.266283063693862,西湖区,幼儿园,gd
140,格林早教园,西湖区紫金港路紫金庭园,120.08793382523533,30.273342381372633,西湖区,幼儿园,gd
141,杭州市西湖区龙坞幼儿园里桐坞园区,西湖区桐坞东路,120.04849427557423,30.19988481999633,西湖区,幼儿园,gd
142,政苑幼儿园(枫桦东路校区),西湖区双浦镇滨之澜苑二区1-1幢,120.11038267325841,30.15089332681123,西湖区,幼儿园,gd
143,杭州市西湖区花语城幼儿园,西湖区贝家街1号,120.05919572834615,30.333646800213657,西湖区,幼儿园,gd
144,初本幼园,西湖区三墩镇榨河巷6号丰盛九玺8幢商铺,120.06332590443114,30.330432522469113,西湖区,幼儿园,gd
145,杭州市西湖区新蕾幼儿园,西湖区转塘街道南村225号,120.09034091709508,30.130973072960508,西湖区,幼儿园,gd
146,西湖区龙坞幼儿园葛衙庄园区,西湖区龙坞镇葛衙庄路115号西湖实验学校东侧,120.04506418719134,30.183791034237004,西湖区,幼儿园,gd
147,文鼎苑幼儿园宝嘉誉府园区,西湖区西行路62号,120.07683656205386,30.315487557371615,西湖区,幼儿园,gd
148,解放军联勤保障部队第九〇三医院幼儿园,西湖区灵隐路14号,120.11494142375912,30.24929200002346,西湖区,幼儿园,gd
149,龙坞幼儿园龙门坎园区,西湖区龙坞镇龙门坎杨家外里33号,120.02950177977382,30.193435082316242,西湖区,幼儿园,gd
150,袁浦幼儿园外张分园,西湖区杭州绕城高速,120.15536862293871,30.115197311149515,西湖区,幼儿园,gd
151,浙江大学之江校区幼儿园,西湖区之江路51号浙江大学之江校区,120.12297764361976,30.19601912797889,西湖区,幼儿园,gd
152,杭州市哆来咪幼儿园,西湖区古墩路369金田花园18幢哆来咪幼儿园,120.09287254144633,30.28059093795072,西湖区,幼儿园,gd
153,陈经纶体育学校幼儿园,西湖区曙光路126号,120.13273077859047,30.26786534217848,西湖区,幼儿园,gd
154,三墩幼儿园(建设中),西湖区庄墩路与茹家街交叉口西北100米,120.06018953183555,30.346971131008704,西湖区,幼儿园,gd
155,文苑小学,西湖区竞舟路111号,120.09976476509354,30.28185621330673,西湖区,小学,gd
156,杭州市西子湖小学,西湖区西湖街道之江路40号,120.11224024733761,30.188702982928984,西湖区,小学,gd
157,西湖(紫萱)小学,西湖区墩祥路与紫萱路交叉口西北150米,120.06512346443535,30.329358962158484,西湖区,小学,gd
158,翠苑第一小学(翠苑校区),西湖区文一路375号,120.12213102466767,30.289690158948503,西湖区,小学,gd
159,杭州市育才教育集团文溪小学,西湖区凌波路8号,120.05107141396262,30.28233830095098,西湖区,小学,gd
160,求是(西溪)小学,西湖区文一西路578号,120.07217432890903,30.29011651706393,西湖区,小学,gd
161,杭州文理第二小学,西湖区金庄路与联鸿街交叉路口往东北约240米,120.070849240936,30.345650853837576,西湖区,小学,gd
162,杭州市学军小学教育集团云栖小学(建设中),西湖区,120.10955802334752,30.144601089338895,西湖区,小学,gd
163,杭州学军中学(紫金港校区),西湖区花蒋路,120.0631616168289,30.30037763335368,西湖区,中学,gd
164,浙江常春藤国际高中,西湖区留下街道小和山支路79号,120.02625912545396,30.21602670561319,西湖区,中学,gd
165,杭州东方中学,西湖区西溪路655-1号,120.0836392438793,30.25658928724158,西湖区,中学,gd
166,浙江省杭州第七中学转塘校区,西湖区转塘环山路1号,120.05198520826897,30.151594512345902,西湖区,中学,gd
167,杭州市西湖第一实验学校,西湖区转塘街道葛衙庄龙新路,120.04378638741716,30.183587928003185,西湖区,中学,gd
168,杭州市之江第一中学(建设中),西湖区珊瑚沙路南侧,120.08803408442571,30.164980076612025,西湖区,中学,gd
169,杭州市文理中学,西湖区欣然路,120.06764812860868,30.334605640421923,西湖区,中学,gd
170,杭州第一技师学院,西湖区西溪路719号,120.0778895370933,30.254739950012592,西湖区,职业技术学校,gd
171,中国美术学院(梦园教学区),西湖区梦园路18号,120.07156420555846,30.165755664656245,西湖区,职业技术学校,gd
172,浙江特殊教育职业学院,西湖区留下街道留和路527号,120.0099386286962,30.20695642453575,西湖区,职业技术学校,gd
173,达内UI设计学院(杭州西溪中心),西湖区教工路23号百脑汇科技大厦1508室,120.13074746158864,30.276443010406087,西湖区,职业技术学校,gd
174,浙音校卫,西湖区,120.05770415132278,30.160240475262533,西湖区,职业技术学校,gd
175,紫霞幼儿园,杭州市西湖区崇信路与双龙街交叉路口往西约50米,120.07495774368546,30.29433483022256,西湖区,幼儿园,
176,双桥幼儿园,杭州市西湖区祥余线,120.03359292292127,30.33313753096143,西湖区,幼儿园,
177,杭州人幼,杭州市西湖区古墩路656号紫金港商务大厦,120.093014752973,30.30746532483968,西湖区,幼儿园,
178,浙江师范大学杭州幼儿师范学院,浙江省杭州市西湖区文二路125号,120.1348223544427,30.284776930067483,西湖区,幼儿园,
179,正达艺术园,杭州市西湖区灵山线,120.05680873934324,30.125072136253895,西湖区,幼儿园,
180,光幼儿园,浙江省杭州市西湖区江涵路畅达机动车驾驶员培训有限公司,120.09692535455285,30.15804529745632,西湖区,幼儿园,
181,云栖公望数字艺术园,浙江省杭州市西湖区转塘街道石龙山工业区块17号,120.06979271433015,30.13312626237019,西湖区,幼儿园,
182,孩盟国际儿童公馆(紫荆花园区),杭州市西湖区紫荆花路397号,120.08750829287277,30.2933165661289,西湖区,幼儿园,
