,name,address,gd_point_x,gd_point_y,region,dataType
1458,柳锦花园幼儿园,海曙区常青路98号84弄308室,121.52882,29.870503,海曙区,幼儿园
1459,宁峰幼儿园,海曙区洞桥镇张家垫村572号,121.421004,29.761624,海曙区,幼儿园
1460,集士港镇中心幼儿园,海曙区集士港镇广茂路116号,121.430879,29.863744,海曙区,幼儿园
1461,岐湖幼儿园,海曙区318省道西50米岐湖小学附近,121.404359,29.925471,海曙区,幼儿园
1462,西湖花园幼儿园,海曙区西湖花园小区27号,121.511745,29.853847,海曙区,幼儿园
1463,龙观乡中心幼儿园,海曙区龙兴路与新潮路交叉口,121.314075,29.767205,海曙区,幼儿园
1464,宁波市海曙区培星幼儿园,海曙区栎社华家207号,121.483982,29.80569,海曙区,幼儿园
1465,梅园幼儿园,海曙区鄞江镇大桥村车站中174号,121.372823,29.802727,海曙区,幼儿园
1466,宁波市外经贸幼儿园,海曙区顺德路318号,121.517518,29.849976,海曙区,幼儿园
1467,高桥镇中心小学,海曙区高桥镇新丰路与新联路交叉,121.464485,29.892481,海曙区,小学
1468,望春小学,海曙区博爱路88,121.502977,29.891108,海曙区,小学
1469,宁波市镇明中心小学,海曙区云石街52号,121.546036,29.865788,海曙区,小学
1470,雅戈尔小学,海曙区鄞县大道西段755号南江绿苑,121.504981,29.822135,海曙区,小学
1471,高桥镇何家小学,海曙区联丰中路928号,121.48563,29.869842,海曙区,小学
1472,孙文英小学,海曙区布政巷20号,121.536302,29.877008,海曙区,小学
1473,栎社小学,海曙区栎社村石碶街道栎社街74号,121.485068,29.805791,海曙区,小学
1474,华天小学,海曙区国丰街70号,121.517611,29.866986,海曙区,小学
1475,鄞县俞家小学,海曙区,121.44393,29.839824,海曙区,小学
1476,望江小学,海曙区高桥镇望江村望江路83号,121.498951,29.905863,海曙区,小学
1477,礼嘉桥小学,海曙区启运路金叶宾馆附近,121.504829,29.849141,海曙区,小学
1478,宁波市翰香小学,海曙区五台巷8号,121.552144,29.863131,海曙区,小学
1479,镇明中心小学(实验校区),海曙区段塘街道云霞路226号宁波市镇明中心小学实验校区羽毛球馆,121.529846,29.855263,海曙区,小学
1480,海曙中心小学,海曙区孝闻街8号,121.543567,29.874425,海曙区,小学
1481,孙文英小学气象路校区,海曙区段塘街道气象路59号,121.523262,29.85912,海曙区,小学
1482,宁波市广济中心小学,海曙区金带巷15,121.54657,29.868551,海曙区,小学
1483,宁波市实验小学,海曙区万安路2号,121.529586,29.876205,海曙区,小学
1484,宁波市中原小学,海曙区郎官巷13郎官小区,121.534972,29.873716,海曙区,小学
1485,范桂馥小学,海曙区白云街48弄9号,121.522975,29.872984,海曙区,小学
1486,横涨小学(建设中),海曙区横涨村中心北路270号,121.444577,29.79014,海曙区,小学
1487,宋家漕小学,海曙区宋家漕156,121.495463,29.877455,海曙区,小学
1488,集士港镇广德湖小学,海曙区集高南路788,121.426658,29.880175,海曙区,小学
1489,古林镇布政小学,海曙区俞车利漕11号,121.476881,29.841676,海曙区,小学
1490,石碶实验小学,海曙区横古线,121.4491,29.79186,海曙区,小学
