,name,address,point_x,point_y,specify,dataType
117,浙江公路机械技工学校,浙江省杭州市西湖区浙江省杭州市西湖区,120.080674,30.257216,西湖区,中专
118,杭州东方鹰职业学校,浙江省杭州市西湖区保俶北路52号行政楼106室,120.13483,30.28304,西湖区,中专
119,杭州万向职业技校东区,浙江省杭州市西湖区花坞路3号,120.07172,30.26059,西湖区,中专
120,杭州市汽车技校,浙江省杭州市西湖区浙江省杭州市西湖区,120.144642,30.273813,西湖区,中专
121,浙江联信经济管理专修学校,浙江省杭州市西湖区浙江省杭州市西湖区,120.093534,30.258936,西湖区,中专
122,杭州万向职业技术学院,浙江省杭州市西湖区西溪路896号,120.06977,30.2561,西湖区,中专
123,浙江省华强中等职业学校,浙江省杭州市西湖区留和路527,120.01054,30.20935,西湖区,中专
124,杭州电子科技大学文一校区,浙江省杭州市西湖区文一路115,120.13505,30.28904,西湖区,大专
125,浙江工商大学教工路校区西区,浙江省杭州市西湖区教工路149号,120.1289,30.28657,西湖区,大专
126,浙江大学紫金港校区,浙江省杭州市西湖区余杭塘路866,120.0817,30.30692,西湖区,大专
127,浙江音乐学院,浙江省杭州市西湖区转塘街道浙音路1号,120.049542,30.155341,西湖区,大专
128,浙江财经大学文三校区,浙江省杭州市西湖区文三路140,120.13799,30.28054,西湖区,大专
129,浙江中华文化学院文欣校区,浙江省杭州市西湖区浙江省杭州市西湖区,120.13432,30.29504,西湖区,大专
130,浙江工商大学,浙江省杭州市西湖区教工路149号,120.130383,30.28781,西湖区,大专
131,中国人民大学杭州教学中心,浙江省杭州市西湖区文二路188号综合楼2楼204,120.13167,30.28622,西湖区,大专
132,浙江师范大学杭州幼儿师范学院(文二校区),浙江省杭州市西湖区文二路125号,120.13432,30.28476,西湖区,大专
133,浙江大学西溪校区北园,浙江省杭州市西湖区文三路232号,120.13231,30.28021,西湖区,大专
134,西湖大学(浙江西湖高等研究院),浙江省杭州市西湖区云栖小镇石龙山街18号,120.075445,30.13648,西湖区,大专
135,浙江工业大学屏峰校区,浙江省杭州市西湖区留和路288,120.03212,30.22728,西湖区,大专
136,浙江大学紫金港校区西区,浙江省杭州市西湖区浙江省杭州市西湖区,120.06707,30.301,西湖区,大专
137,浙江外国语学院文三路校区,浙江省杭州市西湖区留和路299号,120.138091,30.280246,西湖区,大专
138,杭州师范大学玉皇山校区,浙江省杭州市西湖区玉皇山路77号,120.150801,30.231336,西湖区,大专
139,浙江工商大学(教工路校区),浙江省杭州市西湖区教工路149号,120.130411,30.28783,西湖区,大专
140,浙江行政学院文欣校区,浙江省杭州市西湖区浙江省杭州市西湖区,120.13432,30.29504,西湖区,大专
141,浙江理工大学文一校区,浙江省杭州市西湖区文一路118号,120.13322,30.291278,西湖区,大专
142,浙江育人专修学院,浙江省杭州市西湖区西园九路6号,120.05979,30.3207,西湖区,大专
143,浙江大学玉泉校区,浙江省杭州市西湖区浙大路38号,120.118195,30.26428,西湖区,大专
144,浙江师范大学文二校区,浙江省杭州市西湖区文二路125号,120.13432,30.28476,西湖区,大专
145,浙江大学,浙江省杭州市西湖区余杭塘路866,120.0817,30.30692,西湖区,大专
146,浙江科技学院,浙江省杭州市西湖区留和路318号,120.0226,30.22487,西湖区,大专
147,浙江大学西溪校区,浙江省杭州市西湖区天目山路148号,120.1363,30.27612,西湖区,大专
148,西湖大学,浙江省杭州市西湖区浙江省杭州市西湖区,120.02868,30.33278,西湖区,大专
149,浙江大学之江校区,浙江省杭州市西湖区之江路51号,120.121324,30.195147,西湖区,大专
150,浙江工商大学教工路校区东区,浙江省杭州市西湖区教工路198号,120.13392,30.2875,西湖区,大专
151,浙江外国语学院小和山校区,浙江省杭州市西湖区留和路299,120.0365,30.22284,西湖区,大专
152,湖畔大学,浙江省杭州市西湖区鹆鹄湾附近,120.13029,30.22886,西湖区,大专
153,杭州青年专修学院,浙江省杭州市西湖区古翠路60,120.11526,30.27814,西湖区,大专
154,浙江女子专修学院,浙江省杭州市西湖区翠柏路10,120.119215,30.292275,西湖区,大专
155,中国美术学院(象山中心校区),浙江省杭州市西湖区象山路352号,120.070715,30.159016,西湖区,大专
156,浙江外国语学院,浙江省杭州市西湖区留和路299,120.0365,30.22284,西湖区,大专
157,浙江财经大学文华校区,浙江省杭州市西湖区文一西路83,120.1065,30.28847,西湖区,大专
