,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,objectid,name,address,point_x,point_y,dsmc,qxmc,xzmc,xxlb,xzqdm,dj,gdb_geomattr_data,shape,verify_point_x,verify_point_y,verify_address
10,30.0,35.0,62.0,1242.0,义乌市城西殿口幼儿园,浙江省义乌市城西街道殿口村,119.9922663,29.29679342,金华市,义乌市,城西街道,幼儿园,330782.0,学前教育,,01010000208A110000A054984A81FF5D4060FA47A7FA4B3D40,119.99217224339158,29.29686063882572,"      format_address2
0  浙江省金华市义乌市城西街道殿口幼儿园"
11,31.0,36.0,63.0,1246.0,宁波市海曙区石碶培星幼儿园,宁波市海曙区石碶街道栎社华家207号,121.4803633,29.80778222,宁波市,海曙区,石碶街道,幼儿园,330203.0,学前教育,,01010000208A110000E89ECE45BE5E5E404013D6D0CACE3D40,121.48036795880873,29.80778825225203,"            format_address2
0  浙江省宁波市海曙区石碶街道栎社街116号栎社小学"
12,38.0,46.0,77.0,1440.0,宁波市海曙区石碶新阳幼儿园,浙江省宁波市海曙区石碶街道东杨村71号,121.4513927,29.79907322,宁波市,海曙区,石碶街道,幼儿园,330203.0,学前教育,,01010000208A110000985D489EE35C5E407030141090CC3D40,121.45148402035495,29.799028499743546,"             format_address2
0  浙江省宁波市海曙区石碶街道鄞州区石矸街道新阳幼儿园"
13,45.0,54.0,86.0,1635.0,浙江大学幼儿园西溪分园,杭州市西湖区天目山路148号,120.1381314,30.27681716,杭州市,西湖区,西溪街道,幼儿园,330106.0,学前教育,,01010000208A11000038C6E024D7085E4070E0447DDD463E40,120.13813315991257,30.276845899389482,"                    format_address2
0  浙江省杭州市西湖区西溪街道浙江大学西溪校区幼儿园浙江大学西溪校区"
14,49.0,58.0,90.0,1689.0,杭州之江高级中学,西湖区留和路533号,120.0060007,30.20888932,杭州市,西湖区,留下街道,高级中学,330106.0,中等教育,,01010000208A11000048ECE45062005E40B06828C579353E40,120.00600457185698,30.20890215901787,"                  format_address2
0  浙江省杭州市西湖区留下街道绿野春天杭州之江专修学院小和山校区"
15,52.0,62.0,101.0,1866.0,义乌市后宅街道西何幼儿园,义乌市后宅街道西何村,120.0486665,29.37192217,金华市,义乌市,后宅街道,幼儿园,330782.0,学前教育,,01010000208A1100002893455A1D035E4020EC874A365F3D40,120.04867410541064,29.372002945715384,"      format_address2
0  浙江省金华市义乌市后宅街道西何幼儿园"
16,61.0,72.0,115.0,2004.0,宁波市海曙区石碶国骅聚星文化武术学校,浙江省宁波市海曙区石碶后仓求精路1号,121.480962,29.83333561,宁波市,海曙区,石碶街道,小学,330212.0,初等教育,,01010000208A110000E8C6EE14C85E5E40E0B8987B55D53D40,121.48096689746272,29.83333953273035,"              format_address2
0  浙江省宁波市海曙区石碶街道求精路1号立星学校后仓校区"
17,62.0,73.0,116.0,2009.0,宁波市海曙区古林镇俞家幼儿园,宁波市海曙区古林镇俞家村南街490号,121.4369834,29.84478897,宁波市,海曙区,古林镇,幼儿园,330203.0,学前教育,,01010000208A11000008190F89F75B5E40E094FD1644D83D40,121.43700121059587,29.8447798504171,"         format_address2
0  浙江省宁波市海曙区古林镇俞家社区卫生服务站"
18,69.0,80.0,126.0,2144.0,宁波市海曙区古林镇宝韵华城幼儿园,浙江省宁波市海曙区古林镇盛世华城小区38栋,121.4987958,29.86974467,宁波市,海曙区,古林镇,幼儿园,330203.0,学前教育,,01010000208A11000078120C45EC5F5E40B0A22496A7DE3D40,121.49875412262526,29.86944645902332,"             format_address2
0  浙江省宁波市海曙区古林镇薛家南路52-1号盛世华城"
19,71.0,82.0,130.0,2193.0,宁波市海曙区集士港镇希望幼儿园,宁波市海曙区集士港镇双银村徐家20号,121.3937462,29.89236127,宁波市,海曙区,集士港镇,幼儿园,330203.0,学前教育,,01010000208A1100005016532333595E40000CD8C971E43D40,121.39358817395969,29.892421757055192,"                  format_address2
0  浙江省宁波市海曙区集士港镇希望幼儿园(双银社区卫生服务站南)"
20,72.0,83.0,131.0,2199.0,义乌市稠城康乐幼儿园,义乌市稠城街道香港城一街28号,120.0800775,29.31012611,金华市,义乌市,稠城街道,幼儿园,,学前教育,,01010000208A110000E89087FD1F055E40609CA66C644F3D40,120.08008337801907,29.310415799348164,"                     format_address2
0  浙江省金华市义乌市稠城街道香港城一街30号康乐幼儿园(香港城一街)"
21,75.0,86.0,134.0,2276.0,义乌市后宅守真幼儿园,后宅街道北站四区73幢,120.0385534,29.37125993,金华市,义乌市,后宅街道,幼儿园,330784.0,学前教育,,01010000208A110000D87488A877025E40D05E05E40A5F3D40,120.03847074726205,29.37123269780266,"            format_address2
0  浙江省金华市义乌市后宅街道守真幼儿园(何界分园)"
22,78.0,89.0,137.0,2336.0,义乌市廿三里街道东陈幼儿园,义乌市廿三里街道东陈村99号,120.159831,29.3489779,金华市,义乌市,廿三里街,幼儿园,330782.0,学前教育,,01010000208A110000306EDBAB3A0A5E406069A89D56593D40,120.15974544945388,29.348866139429337,"         format_address2
0  浙江省金华市义乌市廿三里街道花仙路293号"
23,81.0,92.0,144.0,2548.0,宁波市海曙区石碶横涨幼儿园,宁波市海曙区石碶街道横涨村工业区14号,121.4420221,29.79164957,宁波市,海曙区,石碶街道,幼儿园,330203.0,学前教育,,01010000208A11000048E9F2164A5C5E406056D98BA9CA3D40,121.44211746052581,29.79166237791157,"           format_address2
0  浙江省宁波市海曙区石碶街道026县道横涨幼儿园"
24,82.0,93.0,147.0,2624.0,义乌市北苑星空幼儿园,浙江省义乌市北苑街道莲塘村委会,120.0613237,29.34073411,金华市,义乌市,北苑街道,幼儿园,330782.0,学前教育,,01010000208A11000078734BBAEC035E40E07DBA593A573D40,120.06144861312269,29.34070513387558,"               format_address2
0  浙江省金华市义乌市北苑街道星空幼儿园(春晗路)莲塘3区"
25,88.0,103.0,160.0,2827.0,宁波市海曙区石碶雅源幼儿园,宁波市海曙区石碶街道雅渡村万利路8号,121.4952956,29.81873611,宁波市,海曙区,石碶街道,幼儿园,330203.0,学前教育,,01010000208A110000F85456ECB25F5E40A0FAA5B098D13D40,121.49529993297931,29.818740054742516,"      format_address2
0  浙江省宁波市海曙区石碶街道雅源幼儿园"
26,92.0,107.0,164.0,2967.0,义乌市欧景幼儿园,浙江省义乌市贝村路欧景名城小区内,120.0353498,29.27767849,金华市,义乌市,稠江街道,幼儿园,330782.0,学前教育,,01010000208A11000020FEC32B43025E40505A01F015473D40,120.03533854555465,29.27747984436157,"      format_address2
0  浙江省金华市义乌市稠江街道欧景幼儿园"
27,93.0,108.0,166.0,2993.0,义乌市北苑卡璐璐幼儿园,浙江省金华市义乌市北苑街道黄杨梅一区89幢,120.0429828,29.31146464,金华市,义乌市,北苑街道,幼儿园,330782.0,学前教育,,01010000208A110000F03CB63AC0025E4080C67D25BC4F3D40,120.04285362979306,29.311450739181687,"            format_address2
0  浙江省金华市义乌市北苑街道卡璐璐幼儿园黄杨梅1区"
