,objectid,name,address,point_x,point_y,dsmc,qxmc,xzmc,xxlb,xzqdm,dj,gdb_geomattr_data,shape,verify_point_x,verify_point_y,verify_address
142,6151.0,义乌市上溪镇云门幼儿园,义乌市上溪镇上溪二村社区服务中心旁,119.930156,29.285681,金华市,义乌市,上溪镇,幼儿园,330782.0,学前教育,,01010000208A110000680B08AD87FB5D40B016D86322493D40,119.93016,29.28579,金华市义乌市文明北路15号云门幼儿园
143,6250.0,义乌市福田小天使幼儿园,义乌市福田街道荷叶塘物华路13号,120.106133,29.369829,金华市,义乌市,福田街道,幼儿园,330782.0,学前教育,,01010000208A110000B00111E2CA065E40C01C041DAD5E3D40,120.106,29.36999,金华市义乌市物华路13号小天使幼儿园
144,6255.0,杭州市余杭区星桥中学,杭州市余杭区星桥街道藕花洲大街西段329号,120.254052,30.397805,杭州市,余杭区,星桥街道,初级中学,330110.0,中等教育,,01010000208A110000F0DE516342105E40702F698CD6653E40,120.25414,30.39775,杭州市临平区藕花洲大街西段329号星桥中学
145,6270.0,义乌市上溪镇小叮当幼儿园,义乌市上溪镇百安街21号3-10,119.940225,29.286977,金华市,义乌市,上溪镇,幼儿园,330782.0,学前教育,,01010000208A11000070787AA52CFC5D4040B41D5377493D40,119.940215,29.286984,金华市义乌市百安街21小叮当幼儿园
146,6280.0,德清县新市镇第二幼儿园,德清县新市镇厚皋村,120.274423,30.59500547,湖州市,德清县,新市镇,幼儿园,330521.0,学前教育,,01010000208A110000B0E9552590115E40602E534752983E40,120.274432,30.5950330000001,湖州市德清县新市第二幼儿园
147,6294.0,义乌市北苑路北幼儿园,义乌市北苑街道春晗二区109幢,120.067686,29.335561,金华市,义乌市,北苑街道,幼儿园,330782.0,学前教育,,01010000208A1100006819A9F754045E4020D06053E7553D40,120.06756,29.3355,金华市义乌市春晗二区109幢北苑街道路北幼儿园
148,6407.0,义乌市稠江楼下村幼儿园,义乌市稠江街道楼下村昌德路119号,120.051008,29.285147,金华市,义乌市,稠江街道,幼儿园,330782.0,学前教育,,01010000208A11000068F50EB743035E40708DCF64FF483D40,120.050951,29.285205,金华市义乌市昌德路121稠江楼下村幼儿园
149,6421.0,杭州市余杭区塘栖镇第三中学,杭州市余杭区塘栖镇文苑路33号,120.190934,30.472008,杭州市,余杭区,塘栖镇,初级中学,330110.0,中等教育,,01010000208A110000706C3D43380C5E4050732B84D5783E40,120.19097,30.47222,杭州市临平区杭州市塘栖第三中学
150,6474.0,义乌市塘李小学,浙江省义乌市后宅街道三川塘村79号,120.014053,29.375623,金华市,义乌市,后宅街道,小学,330782.0,初等教育,,01010000208A11000048DA8D3EE6005E4020A034D428603D40,120.01391,29.3757900000001,金华市义乌市川塘村79义乌市塘李小学
151,6529.0,义乌市佛堂镇佛堂小学,义乌市佛堂镇大成路368号。,120.011022,29.197326,金华市,义乌市,佛堂镇,小学,330782.0,初等教育,,01010000208A11000058629E95B4005E4080A6ECF483323D40,120.010991,29.197521,金华市义乌市大成路368佛堂小学
152,6535.0,宁波市海曙区田莘耕中学,宁波市海曙区石碶街道塘西中路98号,121.501418,29.835166,宁波市,海曙区,石碶街道,初级中学,330203.0,中等教育,,01010000208A11000008E8853B17605E4030BB6070CDD53D40,121.501418,29.835166,宁波市海曙区塘西村宁波市海曙区田莘耕中学
153,6659.0,杭州市余杭区径山镇潘板中心小学,杭州市余杭区径山镇求是村塘东2-1,119.873403,30.376393,杭州市,余杭区,径山镇,小学,330110.0,初等教育,,01010000208A110000A04EB2D5E5F75D408071A94A5B603E40,119.873403,30.376393,杭州市余杭区杭州市余杭区径山镇潘板求塘东2-1号杭州市余杭区径山镇潘板中心小学
154,6674.0,义乌市宾王中学,宗泽路211号,120.088441,29.324881,金华市,义乌市,稠城街道,初级中学,330782.0,中等教育,,01010000208A11000008A87004A9055E408017B6662B533D40,120.088337,29.324861,金华市义乌市宗泽路211义乌市宾王中学
