,name,address,point_x,point_y,specify,dataType
149,杭州市嘉绿苑小学景汇校区,浙江省杭州市西湖区浙江省杭州市西湖区,120.0628,30.35099,西湖区,小学
150,杭州市竞舟小学,浙江省杭州市西湖区竞舟路221,120.09836,30.2866,西湖区,小学
151,杭州市翠苑第二小学,浙江省杭州市西湖区翠苑三区165号,120.117323,30.286182,西湖区,小学
152,杭州市行知第二小学,浙江省杭州市西湖区浙江省杭州市西湖区,120.056438,30.295873,西湖区,小学
153,杭州市行知小学学院校区,浙江省杭州市西湖区行知巷6号,120.12574,30.28669,西湖区,小学
154,杭州市文三教育集团定山小学,浙江省杭州市西湖区灵凤街178,120.066207,30.142189,西湖区,小学
155,浙江大学附属第二小学,浙江省杭州市西湖区五常港路469正东方向151米,120.06077,30.30305,西湖区,小学
156,翠苑第一小学翠苑校区,浙江省杭州市西湖区文一路375号,120.12259,30.28981,西湖区,小学
157,杭州市西湖小学教育集团西湖小学,浙江省杭州市西湖区曙光路143号,120.12596,30.25582,西湖区,小学
158,杭州市学军小学,浙江省杭州市西湖区求智巷6号,120.13909,30.28423,西湖区,小学
159,文一街小学秀水校区,浙江省杭州市西湖区秀里街306,120.09102,30.32431,西湖区,小学
160,杭州市古荡第一小学,浙江省杭州市西湖区益乐路6-1,120.11181,30.27651,西湖区,小学
161,西子湖小学九溪校区,浙江省杭州市西湖区之江路40,120.112682,30.188408,西湖区,小学
162,杭州市袁浦小学,浙江省杭州市西湖区双浦镇兰溪口村1号,120.11655,30.1171,西湖区,小学
163,杭州市紫荆花学校,浙江省杭州市西湖区竞舟路222,120.1,30.28635,西湖区,小学
164,浙江外国语学院附属实验学校,浙江省杭州市西湖区黄姑山横路70,120.12672,30.27701,西湖区,小学
165,杭州市之江外语实验学校,浙江省杭州市西湖区文一路天河西苑,120.1006,30.29255,西湖区,小学
166,浙江省陶行知研究会实验学校,浙江省杭州市西湖区黄姑山横路70,120.12672,30.27701,西湖区,小学
167,杭州市三墩小学双桥校区,浙江省杭州市西湖区肖家坝12号,120.035869,30.332421,西湖区,小学
168,杭州市之江第二小学,浙江省杭州市西湖区文景路330,120.09004,30.16259,西湖区,小学
169,杭州市西子湖小学,浙江省杭州市西湖区龙井路76号,120.118146,30.23958,西湖区,小学
170,杭州西子实验学校,浙江省杭州市西湖区湖埠村,120.052292,30.129862,西湖区,小学
171,杭州市钱塘外语学校,浙江省杭州市西湖区文二西路88号,120.10707,30.28554,西湖区,小学
172,杭州市星洲小学,浙江省杭州市西湖区紫荆花路288,120.08849,30.29128,西湖区,小学
173,杭州市周浦小学,浙江省杭州市西湖区周家埭408,120.06871,30.10281,西湖区,小学
174,杭州市西湖小学教育集团西湖(紫萱)小学,浙江省杭州市西湖区紫萱路338号正北方向82米,120.06567,30.32966,西湖区,小学
