,name,address,point_x,point_y,specify,dataType,gd_point_x,gd_point_y
118,杭州丰潭中学,浙江省杭州市西湖区丰潭路2号,120.10728,30.2752,西湖区,中学,120.1128,30.272573
119,杭州市三墩中学,浙江省杭州市西湖区振华路9,120.07772,30.31899,西湖区,中学,120.082517,30.315974
120,杭州市西湖高级中学,浙江省杭州市西湖区留下街2号,120.05641,30.24513,西湖区,中学,120.061384,30.241297
121,杭州周浦中学,浙江省杭州市西湖区周浦乡周浦街15号,120.071757,30.093282,西湖区,中学,120.076843,30.091413
122,浙江体育职业技术学院,浙江省杭州市西湖区教工路49号,120.12998,30.28121,西湖区,中专,120.135088,30.278427
123,杭州市电子信息职业学校,浙江省杭州市西湖区高技街2,120.11869,30.2875,西湖区,中专,120.123536,30.285197
124,杭州计算机学校,浙江省杭州市西湖区浮山东路1号,120.085442,30.135227,西湖区,中专,120.09011,30.132989
125,杭州第一技师学院,浙江省杭州市西湖区浙江省杭州市西湖区,120.077184,30.256798,西湖区,中专,120.082706,30.252459
126,浙江科技学院(小和山校区),浙江省杭州市西湖区留和路318号,120.023012,30.221232,西湖区,大专,120.02832,30.21891
127,浙江体育职业技术学院教工路校区,浙江省杭州市西湖区教工路49号,120.12998,30.2812,西湖区,大专,120.134738,30.278463
128,杭州市余杭区良渚喜羊羊幼儿园,浙江省杭州市余杭区庙长桥路1号,120.09413,30.35727,余杭区,幼儿园,120.098733,30.355178
129,国泰西园幼儿园,浙江省杭州市余杭区余杭镇禹航路凤都苑,119.94314,30.26534,余杭区,幼儿园,119.94768,30.262757
130,闲林中心幼儿园,浙江省杭州市余杭区浙江省杭州市余杭区,119.9775,30.22303,余杭区,幼儿园,119.981991,30.220391
131,余杭区勾庄中心幼儿园金家渡园区,浙江省杭州市余杭区曹家路69,120.080778,30.348272,余杭区,幼儿园,120.085339,30.346129
132,北湖绿洲幼儿园,浙江省杭州市余杭区浙江省杭州市余杭区,119.97389,30.38102,余杭区,幼儿园,119.979214,30.378666
133,美好晨星幼儿园,浙江省杭州市余杭区浙江省杭州市余杭区,119.96616,30.37099,余杭区,幼儿园,119.970479,30.368415
134,西点天阳幼儿园,浙江省杭州市余杭区棕榈路89西南方向185米,120.083752,30.36394,余杭区,幼儿园,120.088795,30.361419
135,杭州市余杭区绿苑幼儿园,浙江省杭州市余杭区绿园村63,119.96535,30.40188,余杭区,幼儿园,119.970162,30.399338
136,绿城育华翡翠城幼儿园,浙江省杭州市余杭区闲林镇五常大道和高教路路口,120.014,30.24628,余杭区,幼儿园,120.01873,30.24376
137,大观山幼儿园,浙江省杭州市余杭区葡萄畈145正南方向82米,119.975767,30.39743,余杭区,幼儿园,119.979604,30.394665
138,玉鸟幼儿园,浙江省杭州市余杭区良渚镇良渚文化村,120.023338,30.369192,余杭区,幼儿园,120.028555,30.366893
139,勾庄中心幼儿园肇和分园,浙江省杭州市余杭区浙江省杭州市余杭区,120.09521,30.37951,余杭区,幼儿园,120.100044,30.377194
140,彭公中心幼儿园,浙江省杭州市余杭区郎家井20,119.91868,30.41124,余杭区,幼儿园,119.923109,30.40867
141,西点铭雅幼儿园,浙江省杭州市余杭区铭雅苑东区文体中心正北方向39米,120.08044,30.340797,余杭区,幼儿园,120.085493,30.338443
142,绿城育华亲亲幼儿园,浙江省杭州市余杭区三和大街41号亲亲家园坤和道北入口,120.0863,30.33758,余杭区,幼儿园,120.091303,30.335166
143,百丈镇中心幼儿园溪口分园,浙江省杭州市余杭区浙江省杭州市余杭区,119.76629,30.49216,余杭区,幼儿园,119.771495,30.487507
144,杭州市余杭区鑫鑫幼儿园,浙江省杭州市余杭区良渚镇勾庄丁公村三源印刷有限公司旁,120.07708,30.3656,余杭区,幼儿园,120.08187,30.363353
